feature,importance
us10y_macd,0.024052132
pharma_wr,0.024028495
metal_macd,0.023942474
pharma_adx,0.022687646
bn_macd,0.022164553
hdfc_adx,0.021010092
pharma_macd,0.020288253
it_adx,0.019738168
vix_lag1,0.019287582
spread,0.01918265
inda_adx,0.018171668
metal_adx,0.017143609
nikkei_macd,0.016946286
gold_crude_ratio,0.016828634
fmcg_macd,0.016816532
itc_macd,0.016582983
icici_macd,0.016148465
month_sin,0.016061522
eem_adx,0.015848165
kc_width,0.015795715
infra_macd,0.015382946
silver_rsi,0.0150745725
dxy_macd,0.014825373
bn_nifty_ratio,0.014801896
auto_macd,0.014529435
copper_macd,0.014528257
hsi_macd,0.014037404
gold_macd,0.013965213
infra_adx,0.013759869
inda_rsi,0.013693322
macd_hist_lag3,0.01324511
month_cos,0.013084871
it_macd,0.013027834
vix_ma_ratio,0.012851538
cmf_proxy,0.012707028
bb_width,0.01242595
crude_adx,0.012319448
gold_adx,0.012173601
gold_rsi,0.012100666
auto_adx,0.012063182
icici_adx,0.011983289
rel_macd,0.011960016
energy_macd,0.011745567
vix_lag3,0.011575644
fmcg_rsi,0.011159091
itc_adx,0.011109574
gold_wr,0.011082739
vix_pct,0.010698562
us_vix_adx,0.010549797
consec_up,0.010527906
vix_usvix_ratio,0.010389123
shanghai_rsi,0.010117045
pe_ratio,0.010029401
energy_adx,0.009988924
pharma_rsi,0.009638949
crude_wr,0.0096312845
atr_ratio,0.009525955
tcs_macd,0.0093594445
natgas_rsi,0.008848933
fmcg_adx,0.0082151955
tcs_adx,0.007823998
dist_from_low_20,0.0077890456
adx,0.0068867463
crude_macd,0.006664571
dxy_rsi,0.0065548173
atr_expansion,0.006467629
rsi_lag5,0.0058814585
vix_lag5,0.005582634
us_vix_rsi,0.0055606235
us_vix_macd,0.0055327713
shanghai_macd,0.0054853205
infra_rsi,0.0052366094
dist_from_high_20,0.0051997136
macd_hist_lag2,0.0049769045
it_wr,0.0045825895
icici_wr,0.0045594224
eem_rsi,0.0041309767
hdfc_rsi,0.0036131802
rsi,0.003338513
macd_hist,0.0033140914
hdfc_macd,0.003149602
vix_lag2,0.0031210037
hdfc_wr,0.0030911763
ha_trend,0.0026437836
sp_ret,0.0023908878
tcs_wr,0.0022408275
hsi_ret,0.0020784806
inda_wr,0.0018779432
close_position,0.0015020056
rsi_lag3,0.0013660596
vix_change,0.0012141662
us_vix_wr,0.001198989
infra_ret,0.0011584864
vwap_dev,0.0007546257
macd_hist_lag1,0.0006980621
icici_rsi,0.00060830085
inda_ret,0.00013759475
us10y_ret,0.00012675344
roc_20,0.0
ema_dist_10,0.0
gap_pct,0.0
gap_filled,0.0
engulfing,0.0
vix_accel,0.0
z20,0.0
bn_vs_nifty,0.0
vix_spike,0.0
usdinr_z,0.0
trend,0.0
rsi_lag2,0.0
rsi_lag1,0.0
williams_r,0.0
roc_10,0.0
roc_5,0.0
obv_slope,0.0
rsi_slope,0.0
dow_sin,0.0
dow_cos,0.0
bb_squeeze,0.0
ret_20d,0.0
momentum_div,0.0
ema_dist_50,0.0
range_pctile,0.0
energy_wr,0.0
energy_rsi,0.0
energy_ret,0.0
pharma_ret,0.0
auto_ret,0.0
auto_rsi,0.0
it_ret,0.0
fmcg_wr,0.0
metal_rsi,0.0
metal_ret,0.0
metal_wr,0.0
rel_wr,0.0
gold_ret,0.0
eem_wr,0.0
us_vix_ret,0.0
crude_ret,0.0
eem_ret,0.0
inda_macd,0.0
eem_macd,0.0
crude_rsi,0.0
rel_adx,0.0
rel_rsi,0.0
rel_ret,0.0
it_rsi,0.0
auto_wr,0.0
fmcg_ret,0.0
hdfc_ret,0.0
itc_ret,0.0
copper_ret,0.0
copper_rsi,0.0
ndx_rsi,0.0
ndx_macd,0.0
ndx_ret,0.0
itc_rsi,0.0
bn_rsi,0.0
dxy_ret,0.0
itc_wr,0.0
tcs_ret,0.0
icici_ret,0.0
infra_wr,0.0
tcs_rsi,0.0
shanghai_ret,0.0
nikkei_ret,0.0
hsi_rsi,0.0
natgas_ret,0.0
silver_macd,0.0
us10y_rsi,0.0
silver_ret,0.0
nikkei_rsi,0.0
natgas_macd,0.0
body_pct,0.0
upper_wick,0.0
ret_10d,0.0
ret_5d,0.0
ret_3d,0.0
lower_wick,0.0
buy_pct,0.0
sell_pct,0.0
or_range,0.0
intraday_trend,0.0
