feature,importance
metal_macd,0.029773451
pharma_wr,0.024502303
gold_crude_ratio,0.020020436
icici_rsi,0.019232178
hsi_macd,0.016770411
month_sin,0.016727075
metal_wr,0.01604817
it_adx,0.015742976
crude_adx,0.015708914
inda_adx,0.015646517
gold_adx,0.015575842
natgas_macd,0.015527375
kc_width,0.01516078
tcs_macd,0.014823567
it_macd,0.014772573
bn_nifty_ratio,0.014696453
rel_adx,0.014428029
silver_rsi,0.0136683555
dist_from_low_20,0.0132141905
pe_ratio,0.013182976
copper_rsi,0.012746763
energy_adx,0.012737444
fmcg_adx,0.01270881
bn_macd,0.012573892
dxy_macd,0.012467578
energy_macd,0.012426922
pharma_macd,0.012419192
macd_hist,0.012091418
hdfc_macd,0.011958084
silver_macd,0.011617347
gold_macd,0.011223919
us10y_rsi,0.011210165
infra_macd,0.010956936
us10y_macd,0.010864163
icici_macd,0.010583004
vix_pct,0.010575107
bn_rsi,0.010492379
adx,0.010379044
ha_trend,0.010311579
month_cos,0.010309592
spread,0.010210711
inda_macd,0.010195964
bb_width,0.010085027
crude_macd,0.009952104
crude_rsi,0.009769524
vix_usvix_ratio,0.009624676
us_vix_macd,0.009571596
eem_adx,0.009196173
bb_squeeze,0.009128476
itc_macd,0.009114634
infra_adx,0.008966683
dxy_rsi,0.008832228
inda_rsi,0.00868218
ema_dist_50,0.008567232
icici_adx,0.00840121
vix_ma_ratio,0.008366115
eem_macd,0.008211695
tcs_adx,0.008130137
rsi_lag3,0.007994321
cmf_proxy,0.0076209498
auto_rsi,0.007200671
shanghai_macd,0.0071806116
infra_wr,0.0071000163
vix_lag5,0.007077643
rel_wr,0.0070063337
copper_macd,0.006927687
dist_from_high_20,0.0067453166
hdfc_wr,0.006666838
ndx_macd,0.0066623595
rsi,0.006654616
energy_rsi,0.0065848767
natgas_rsi,0.0065293373
tcs_wr,0.006349139
hdfc_adx,0.0062837563
rsi_lag1,0.0057411753
it_rsi,0.005695052
z20,0.0056579974
upper_wick,0.005575536
metal_rsi,0.0054613054
atr_expansion,0.005383989
fmcg_macd,0.0053791883
fmcg_rsi,0.005245139
macd_hist_lag2,0.005235355
crude_ret,0.005126408
us_vix_adx,0.0051018493
crude_wr,0.004826321
metal_adx,0.0047996314
auto_macd,0.0047689797
itc_wr,0.0046677473
atr_ratio,0.00458012
rel_macd,0.0044729607
us_vix_rsi,0.004418954
gold_wr,0.004135619
usdinr_z,0.0041081067
macd_hist_lag1,0.003962857
pharma_rsi,0.003907881
nikkei_rsi,0.0038297493
icici_ret,0.003798655
us10y_ret,0.00378498
pharma_adx,0.003775023
nikkei_macd,0.0037130795
auto_wr,0.0035192235
lower_wick,0.002646847
range_pctile,0.0025270195
ndx_rsi,0.0021347855
auto_ret,0.002006732
natgas_ret,0.001890434
icici_wr,0.0018591682
intraday_trend,0.0018247443
ema_dist_10,0.0017344226
silver_ret,0.0017079375
gap_pct,0.0016114193
close_position,0.0015942572
rsi_slope,0.0015458574
energy_ret,0.0011423924
vix_change,0.0011231615
hdfc_ret,0.00079635606
eem_wr,0.000382052
inda_wr,0.00036748275
metal_ret,0.0003527973
rsi_lag5,0.00031610203
energy_wr,0.00029644463
ret_20d,0.0
roc_20,0.0
obv_slope,0.0
momentum_div,0.0
roc_5,0.0
inda_ret,0.0
macd_hist_lag3,0.0
dow_cos,0.0
dow_sin,0.0
vix_accel,0.0
vix_lag1,0.0
vix_lag2,0.0
vix_lag3,0.0
sp_ret,0.0
trend,0.0
bn_vs_nifty,0.0
vix_spike,0.0
rsi_lag2,0.0
williams_r,0.0
gap_filled,0.0
engulfing,0.0
roc_10,0.0
gold_rsi,0.0
eem_rsi,0.0
gold_ret,0.0
us_vix_wr,0.0
rel_rsi,0.0
hdfc_rsi,0.0
us_vix_ret,0.0
fmcg_wr,0.0
pharma_ret,0.0
auto_adx,0.0
fmcg_ret,0.0
it_wr,0.0
it_ret,0.0
rel_ret,0.0
eem_ret,0.0
tcs_rsi,0.0
tcs_ret,0.0
infra_ret,0.0
dxy_ret,0.0
itc_adx,0.0
itc_rsi,0.0
infra_rsi,0.0
itc_ret,0.0
hsi_ret,0.0
copper_ret,0.0
ndx_ret,0.0
shanghai_rsi,0.0
nikkei_ret,0.0
hsi_rsi,0.0
shanghai_ret,0.0
body_pct,0.0
ret_10d,0.0
ret_5d,0.0
ret_3d,0.0
consec_up,0.0
buy_pct,0.0
sell_pct,0.0
or_range,0.0
vwap_dev,0.0
