feature,importance
vix_lag1,0.03745013
vix_lag2,0.030104998
vix_lag3,0.019698707
bn_rsi,0.016720403
hdfc_macd,0.016230538
pe_ratio,0.016041158
kc_width,0.014298947
dist_from_high_20,0.013019744
bn_macd,0.0115375165
vix_spike,0.011109286
vix_pct,0.010932051
vwap_dev,0.009642173
us_vix_adx,0.009355141
energy_rsi,0.009220888
crude_macd,0.009173294
dist_from_low_20,0.008780314
inda_adx,0.008718583
auto_rsi,0.008668981
infra_macd,0.008572277
bn_nifty_ratio,0.008543276
rsi_lag2,0.008213967
auto_macd,0.008206958
fmcg_rsi,0.008135504
crude_adx,0.0080910735
ret_20d,0.008037254
silver_macd,0.007892896
ret_5d,0.007888901
close_position,0.007829948
eem_rsi,0.007376165
adx,0.00735188
rsi,0.0073273815
ndx_macd,0.007302401
metal_adx,0.007244684
it_macd,0.007166949
ndx_ret,0.007129065
pharma_ret,0.0070765475
vix_change,0.00699771
month_cos,0.0069948668
it_adx,0.0069753635
energy_macd,0.0068595703
nikkei_rsi,0.0068002
it_rsi,0.006724101
infra_ret,0.0067214724
itc_adx,0.0066597015
itc_macd,0.00662662
pharma_wr,0.0066107223
us_vix_macd,0.0065733036
auto_adx,0.0065531735
bn_vs_nifty,0.006534605
rsi_lag3,0.006382743
icici_macd,0.0063637453
hsi_rsi,0.0063341423
intraday_trend,0.0063301832
macd_hist_lag3,0.0062967646
gold_macd,0.0062490264
nikkei_macd,0.0061918534
atr_ratio,0.0061806804
energy_adx,0.0061628795
macd_hist_lag2,0.0061249407
ema_dist_10,0.006095598
it_ret,0.0060474784
tcs_macd,0.0060382825
gold_crude_ratio,0.0060199755
it_wr,0.0060168738
bb_width,0.005988
metal_rsi,0.00596863
us10y_macd,0.0059670187
spread,0.005899592
copper_ret,0.0058925375
ema_dist_50,0.005882657
macd_hist,0.0058801444
us_vix_wr,0.005874197
ret_3d,0.005857989
itc_ret,0.005850612
eem_macd,0.005802736
shanghai_macd,0.0057988754
fmcg_macd,0.0057905014
gold_rsi,0.005788134
shanghai_rsi,0.005756517
rel_adx,0.005742471
crude_wr,0.0057320404
dxy_macd,0.005693464
auto_wr,0.005646695
atr_expansion,0.0056375307
pharma_adx,0.0056084907
rsi_lag1,0.0055890186
infra_adx,0.005536731
sp_ret,0.005533776
hdfc_adx,0.005526974
eem_ret,0.005506872
hdfc_wr,0.0054135094
month_sin,0.005233722
hdfc_rsi,0.0052170893
williams_r,0.005170942
us10y_rsi,0.0051623373
hsi_macd,0.0051168217
energy_wr,0.005097836
fmcg_adx,0.005006971
icici_adx,0.005003451
infra_wr,0.00499312
itc_wr,0.004967042
pharma_macd,0.004875216
ret_10d,0.004818291
rel_wr,0.004795678
vix_lag5,0.0047601196
copper_macd,0.0047515244
dxy_rsi,0.0046875053
sell_pct,0.0046643564
rsi_lag5,0.0046476102
tcs_rsi,0.0046225553
or_range,0.00460706
natgas_macd,0.0045829075
fmcg_ret,0.0044825748
buy_pct,0.0044392217
macd_hist_lag1,0.0044260435
icici_ret,0.00442163
ndx_rsi,0.004413069
tcs_wr,0.004350306
rsi_slope,0.0043434747
tcs_adx,0.00428874
nikkei_ret,0.004263229
eem_wr,0.0042100777
z20,0.004109037
energy_ret,0.004098643
vix_accel,0.004091314
vix_usvix_ratio,0.004004823
us_vix_rsi,0.003964515
silver_ret,0.003962329
us10y_ret,0.0037978902
rel_rsi,0.003779102
fmcg_wr,0.0037641686
itc_rsi,0.0037510723
upper_wick,0.0037290358
pharma_rsi,0.003641463
gold_adx,0.0036358964
rel_macd,0.0035741976
copper_rsi,0.0035627864
icici_rsi,0.0034668783
cmf_proxy,0.003462949
natgas_rsi,0.0034526882
vix_ma_ratio,0.003395352
bb_squeeze,0.0031670562
dxy_ret,0.0030630475
usdinr_z,0.0030358578
roc_5,0.0030193958
hdfc_ret,0.0028172717
eem_adx,0.0027058194
inda_rsi,0.0026612268
roc_20,0.0024976043
shanghai_ret,0.0024153255
silver_rsi,0.0023492035
crude_ret,0.0022046552
tcs_ret,0.002202064
metal_macd,0.0021593338
inda_macd,0.0020763061
crude_rsi,0.0018183385
dow_sin,0.0018021881
us_vix_ret,0.0013396543
body_pct,0.0013043585
inda_ret,0.0012970978
metal_ret,0.0012291698
ha_trend,0.0010938299
momentum_div,0.000150034
metal_wr,0.00010244693
auto_ret,0.0001018224
engulfing,0.0
dow_cos,0.0
trend,0.0
range_pctile,0.0
gap_pct,0.0
gap_filled,0.0
roc_10,0.0
obv_slope,0.0
inda_wr,0.0
rel_ret,0.0
gold_wr,0.0
gold_ret,0.0
hsi_ret,0.0
infra_rsi,0.0
icici_wr,0.0
natgas_ret,0.0
lower_wick,0.0
consec_up,0.0
is_expiry_week,0.0
