feature,importance
vix_lag1,0.02952739
vix_lag2,0.021879608
vix_lag3,0.015643282
dist_from_high_20,0.012657608
us_vix_macd,0.011384161
ema_dist_50,0.011304113
bn_rsi,0.010918978
inda_macd,0.010631933
ret_5d,0.00943571
bn_macd,0.009411225
vix_ma_ratio,0.009102613
us_vix_rsi,0.009101859
sp_ret,0.009003284
infra_macd,0.008752064
ema_dist_10,0.00801313
icici_macd,0.008006895
tcs_rsi,0.007934834
it_rsi,0.007906377
pharma_rsi,0.007832527
copper_rsi,0.007815649
metal_ret,0.007697708
eem_wr,0.0076615787
z20,0.007542991
energy_wr,0.007431221
macd_hist_lag1,0.0073599396
pe_ratio,0.007324328
consec_up,0.0072789304
ret_10d,0.0071396227
vix_usvix_ratio,0.007081366
copper_macd,0.007077699
it_macd,0.0070113502
icici_wr,0.0069055306
infra_adx,0.006806901
fmcg_wr,0.006803486
or_range,0.0066838483
infra_wr,0.006662036
pharma_wr,0.0066287047
rsi_lag2,0.0065489397
auto_ret,0.0065406333
natgas_macd,0.0065004216
month_cos,0.0064962474
auto_wr,0.006490265
tcs_adx,0.006435679
eem_macd,0.0062843463
buy_pct,0.0062728254
crude_adx,0.0062387995
us_vix_wr,0.006233856
inda_wr,0.006186006
silver_rsi,0.0061850823
shanghai_macd,0.006174039
vwap_dev,0.0061614783
roc_10,0.006110039
dow_sin,0.006055208
eem_ret,0.006030043
vix_pct,0.0060245227
us_vix_adx,0.0058845384
us10y_ret,0.0057890546
eem_rsi,0.0057797823
month_sin,0.0057654628
metal_macd,0.005743949
macd_hist_lag3,0.005722426
silver_macd,0.005688043
atr_expansion,0.0056593055
tcs_macd,0.0055935844
pharma_ret,0.005570939
us10y_macd,0.005570189
silver_ret,0.005563813
bn_nifty_ratio,0.0055483347
dist_from_low_20,0.005520174
spread,0.005515453
itc_adx,0.0055091716
rsi_lag5,0.0054991613
it_adx,0.0054427967
gold_crude_ratio,0.005434395
hsi_macd,0.005387513
itc_macd,0.0053855553
vix_lag5,0.0052796104
nikkei_ret,0.0052168295
inda_adx,0.00521262
momentum_div,0.00516275
itc_wr,0.005091963
rel_wr,0.0050559742
macd_hist_lag2,0.004994404
hdfc_ret,0.004991741
rel_ret,0.0049855965
rsi_lag1,0.004951902
dxy_ret,0.004935941
fmcg_ret,0.0049263346
auto_rsi,0.0049232463
atr_ratio,0.004920866
hdfc_adx,0.0049120714
energy_rsi,0.0048867306
dxy_rsi,0.0048716827
inda_ret,0.0048708315
metal_rsi,0.00486874
shanghai_rsi,0.004848728
intraday_trend,0.0048033614
dow_cos,0.0047465395
ndx_macd,0.004728614
gap_pct,0.0047113607
metal_adx,0.0046779243
dxy_macd,0.004668444
crude_macd,0.0046610604
williams_r,0.0046452703
roc_5,0.004622596
adx,0.004620231
macd_hist,0.0046154447
usdinr_z,0.0046119904
gold_wr,0.0045684525
lower_wick,0.0045458376
icici_adx,0.004502814
vix_change,0.0045026042
itc_rsi,0.004496172
energy_macd,0.0044248733
upper_wick,0.0044241436
pharma_adx,0.0043987776
crude_rsi,0.004387033
ndx_ret,0.004358544
range_pctile,0.0043435437
rsi,0.00431925
crude_wr,0.0043185097
hdfc_macd,0.0042456537
tcs_ret,0.0042425697
pharma_macd,0.0042216745
bb_squeeze,0.0042173457
hsi_rsi,0.004199574
rsi_lag3,0.0041826777
fmcg_adx,0.0041580787
bb_width,0.0041566542
sell_pct,0.0041390536
us10y_rsi,0.0041373707
kc_width,0.0041194754
it_ret,0.004081022
body_pct,0.00407751
shanghai_ret,0.0040587904
hsi_ret,0.0040365467
us_vix_ret,0.004026284
gold_adx,0.003999633
natgas_rsi,0.003967798
tcs_wr,0.003961615
ndx_rsi,0.0039316956
ret_3d,0.0038774107
cmf_proxy,0.0038554068
nikkei_macd,0.0037788423
crude_ret,0.0037506872
inda_rsi,0.003731306
gold_macd,0.0037211957
hdfc_wr,0.0036886309
infra_ret,0.0036540732
hdfc_rsi,0.0036178683
infra_rsi,0.003600756
copper_ret,0.0035168403
auto_adx,0.0033884565
natgas_ret,0.0033858526
roc_20,0.0033818106
it_wr,0.0033722422
icici_rsi,0.00336951
gold_rsi,0.0033378056
rel_macd,0.0033316147
rel_rsi,0.0033287262
vix_accel,0.0033023306
metal_wr,0.003293382
rsi_slope,0.0032855417
close_position,0.0032595028
gold_ret,0.0032181998
auto_macd,0.0032014498
bn_vs_nifty,0.003196317
eem_adx,0.0030445636
rel_adx,0.0030146777
ha_trend,0.003011187
fmcg_macd,0.002986192
nikkei_rsi,0.0029301352
energy_adx,0.0029212178
engulfing,0.0028891757
energy_ret,0.002766193
itc_ret,0.0027634152
gap_filled,0.0023375046
fmcg_rsi,0.002022635
icici_ret,0.0018493552
trend,0.0018075599
ret_20d,0.0015348055
obv_slope,0.0
vix_spike,0.0
