feature,importance
month_cos,0.020680286
vix_spike,0.01970795
auto_adx,0.019191852
trend,0.016455851
vix_lag1,0.016435513
gold_crude_ratio,0.013956012
gold_macd,0.013952933
eem_macd,0.013528464
energy_macd,0.012745904
us10y_macd,0.012680342
vix_usvix_ratio,0.012664622
natgas_macd,0.012415325
bn_nifty_ratio,0.012345818
hsi_macd,0.011846092
infra_macd,0.011456303
vix_pct,0.011281193
it_macd,0.011231036
pe_ratio,0.011199423
icici_macd,0.01096112
spread,0.01091642
fmcg_macd,0.010845949
rel_adx,0.010405486
pharma_macd,0.010237887
adx,0.010020875
it_adx,0.0098138945
infra_adx,0.009733914
kc_width,0.009710734
metal_macd,0.009492288
energy_adx,0.009476067
crude_macd,0.009405136
pharma_adx,0.009267965
hsi_rsi,0.009169928
hdfc_macd,0.008788078
eem_adx,0.00861599
hdfc_adx,0.008595078
icici_adx,0.008436802
fmcg_adx,0.00840489
rel_macd,0.008293415
eem_rsi,0.008134084
month_sin,0.008093437
macd_hist_lag2,0.007928157
us_vix_adx,0.007891435
crude_adx,0.007805833
auto_macd,0.007644888
gold_adx,0.007568247
inda_rsi,0.0075204363
copper_macd,0.0072162817
itc_adx,0.0071859094
silver_macd,0.0071853884
dxy_macd,0.0071226447
atr_ratio,0.0070631597
tcs_macd,0.0070406706
silver_rsi,0.007016816
nikkei_macd,0.0070008337
inda_adx,0.0069826073
inda_macd,0.0068681445
icici_rsi,0.006811323
vix_lag5,0.006752868
rsi_lag2,0.0067188437
us_vix_macd,0.0066670487
ha_trend,0.006661512
nikkei_rsi,0.0065184818
us10y_rsi,0.006405448
gold_rsi,0.0063997447
macd_hist_lag3,0.0063621574
bn_macd,0.0063202013
macd_hist,0.0062542986
fmcg_wr,0.00625098
bb_squeeze,0.0062202667
bn_rsi,0.0061996435
hdfc_rsi,0.0061164317
dist_from_high_20,0.005931176
metal_adx,0.005880376
ndx_macd,0.005778981
rel_rsi,0.005634203
bb_width,0.0056337225
shanghai_macd,0.005550839
natgas_rsi,0.0054657497
infra_rsi,0.0053825662
auto_wr,0.0053505893
ema_dist_50,0.005346876
energy_rsi,0.005309605
z20,0.005283987
tcs_adx,0.005169065
ret_20d,0.0049499245
macd_hist_lag1,0.0049337987
auto_rsi,0.0049336897
tcs_rsi,0.004880354
hdfc_wr,0.0048397467
vix_lag2,0.0047740713
hsi_ret,0.004752361
crude_rsi,0.0046255165
metal_wr,0.004582739
metal_rsi,0.0045690774
it_rsi,0.004554173
pharma_rsi,0.0045502437
energy_wr,0.0045485287
ret_5d,0.0044399877
rsi_lag5,0.004375654
us_vix_rsi,0.0042727846
ema_dist_10,0.004231274
rsi,0.004056441
rsi_lag3,0.003936059
itc_wr,0.0039349906
dxy_rsi,0.003876737
itc_rsi,0.003856725
itc_macd,0.0038423315
eem_wr,0.0037838507
shanghai_rsi,0.0037614342
usdinr_z,0.0037124765
dist_from_low_20,0.003683326
roc_20,0.0036791156
vix_lag3,0.0036399309
copper_rsi,0.0035947796
hdfc_ret,0.003429809
cmf_proxy,0.0033877194
ret_10d,0.003311825
inda_wr,0.0031935694
williams_r,0.0031303866
tcs_wr,0.0030642077
ret_3d,0.0030285025
vix_ma_ratio,0.0030274522
us_vix_wr,0.0029479498
it_wr,0.0028097916
roc_10,0.0028091297
atr_expansion,0.0027227465
gold_ret,0.002685014
bn_vs_nifty,0.002665258
ndx_ret,0.0025421444
rsi_lag1,0.002529272
it_ret,0.0025084931
copper_ret,0.0024535316
fmcg_rsi,0.0023782046
ndx_rsi,0.002375073
pharma_wr,0.002329586
shanghai_ret,0.0022988988
rel_wr,0.002274153
icici_wr,0.0022213836
lower_wick,0.0022177072
fmcg_ret,0.0021958882
tcs_ret,0.002130832
gold_wr,0.002122618
crude_wr,0.0020377948
consec_up,0.002029881
or_range,0.0019745473
energy_ret,0.0019479675
roc_5,0.0019268646
metal_ret,0.0019173531
auto_ret,0.0018453762
nikkei_ret,0.0017058793
eem_ret,0.0016773577
us10y_ret,0.001666779
us_vix_ret,0.0016657462
body_pct,0.0016645394
intraday_trend,0.0015834211
vwap_dev,0.0015611389
sp_ret,0.0015582796
rsi_slope,0.001443327
dxy_ret,0.0014306422
crude_ret,0.001426749
natgas_ret,0.001395788
buy_pct,0.0013385854
rel_ret,0.0013201472
infra_wr,0.0012858972
vix_accel,0.0012161537
inda_ret,0.0011965822
icici_ret,0.0011930538
infra_ret,0.0011679876
pharma_ret,0.0010905552
itc_ret,0.0010823979
gap_pct,0.0009947178
vix_change,0.00087635475
silver_ret,0.0008698589
dow_cos,0.00081191654
range_pctile,0.00078589516
engulfing,0.0007841945
close_position,0.0007368713
sell_pct,0.00067629374
upper_wick,0.0005860557
dow_sin,0.0005509968
momentum_div,0.0
obv_slope,0.0
gap_filled,0.0
