feature,importance
vix_lag1,0.017178176
dist_from_high_20,0.01644113
vix_lag5,0.014922434
lower_wick,0.014049054
vix_lag2,0.013492987
ret_10d,0.012195081
us_vix_macd,0.011431971
or_range,0.009775244
us_vix_rsi,0.009739908
month_sin,0.009732273
us_vix_adx,0.009641391
eem_macd,0.009459845
vwap_dev,0.008712938
eem_wr,0.008659644
bn_nifty_ratio,0.008416566
metal_adx,0.0083646225
crude_macd,0.007943317
crude_adx,0.007916542
body_pct,0.00787059
ndx_ret,0.0077801924
vix_lag3,0.0077490187
hdfc_ret,0.007706649
ndx_rsi,0.0076188315
tcs_wr,0.007363492
vix_pct,0.007206248
itc_rsi,0.0071968217
pharma_macd,0.007120686
hsi_rsi,0.0070552775
eem_ret,0.007052653
nikkei_rsi,0.006991975
eem_rsi,0.006920488
it_adx,0.0069183656
dist_from_low_20,0.0068730507
eem_adx,0.006822842
hdfc_macd,0.006757663
bn_rsi,0.0066965865
spread,0.006692799
fmcg_adx,0.006616476
infra_rsi,0.0065777767
us_vix_ret,0.0065607065
vix_usvix_ratio,0.0065114824
auto_rsi,0.0064318464
sell_pct,0.006419269
natgas_macd,0.0063979123
inda_ret,0.0063166055
it_rsi,0.0062649846
inda_macd,0.0062414785
nikkei_macd,0.0062010633
shanghai_rsi,0.0061871344
rsi_lag1,0.0061573773
gap_pct,0.006007128
consec_up,0.005973634
dow_sin,0.005883852
macd_hist_lag1,0.005836992
icici_wr,0.005802723
nikkei_ret,0.0057923943
ema_dist_10,0.005770689
rel_macd,0.005727735
auto_ret,0.00566844
silver_macd,0.0056574848
hdfc_adx,0.0056446875
pe_ratio,0.005602184
rel_ret,0.0055587986
fmcg_wr,0.0054900246
tcs_ret,0.005477869
gold_macd,0.005457435
sp_ret,0.005444753
inda_wr,0.005442408
usdinr_z,0.0054366137
inda_rsi,0.005407964
copper_macd,0.0053987675
copper_ret,0.0053814147
gap_filled,0.0053808484
infra_ret,0.0053778817
atr_expansion,0.005375189
vix_change,0.005325065
it_ret,0.005303778
ema_dist_50,0.005276692
roc_5,0.0052676187
ret_3d,0.0052615893
macd_hist_lag3,0.005241298
pharma_ret,0.005234977
gold_adx,0.005211434
hdfc_rsi,0.005201832
upper_wick,0.005187005
auto_adx,0.0051730946
itc_wr,0.0051650796
rel_rsi,0.005150482
shanghai_macd,0.005134281
vix_ma_ratio,0.0050855055
tcs_adx,0.0050496487
adx,0.0050346972
bb_width,0.005008343
dxy_rsi,0.004989906
icici_ret,0.004965482
us10y_rsi,0.0049587223
tcs_rsi,0.00490488
rel_adx,0.0049000774
momentum_div,0.0048602778
dxy_ret,0.004855964
natgas_rsi,0.004826432
rsi_lag2,0.00480108
fmcg_rsi,0.0047981935
natgas_ret,0.004787802
williams_r,0.004787291
copper_rsi,0.0047722287
rsi_slope,0.004755034
fmcg_macd,0.004741094
it_macd,0.004694306
icici_macd,0.004694055
auto_macd,0.0046485923
cmf_proxy,0.004646862
month_cos,0.0046310765
rsi_lag3,0.0046238927
energy_ret,0.004591906
itc_macd,0.0045869173
ret_5d,0.004579587
intraday_trend,0.004566282
ndx_macd,0.0045655947
silver_rsi,0.0045421654
buy_pct,0.004519058
tcs_macd,0.0045172544
roc_20,0.004497325
energy_macd,0.004476286
vix_accel,0.004460041
metal_rsi,0.0044368543
infra_adx,0.0044311746
crude_wr,0.004365634
it_wr,0.004363734
icici_adx,0.004310539
us_vix_wr,0.004287431
silver_ret,0.0042451895
z20,0.0042339927
infra_macd,0.0042298813
itc_adx,0.004189957
us10y_macd,0.0041294657
energy_adx,0.0041143876
pharma_rsi,0.0040943664
gold_rsi,0.0040772967
hdfc_wr,0.00404897
shanghai_ret,0.0040282435
ret_20d,0.0040015173
rsi,0.003973676
bn_macd,0.0039628716
energy_rsi,0.0039602797
atr_ratio,0.0039283964
fmcg_ret,0.0038775245
infra_wr,0.0038673205
macd_hist_lag2,0.0038340222
energy_wr,0.003832973
hsi_ret,0.0038319302
gold_wr,0.0037549383
us10y_ret,0.003735718
pharma_wr,0.0037303697
bn_vs_nifty,0.0037141077
kc_width,0.0037076026
metal_ret,0.0036981048
pharma_adx,0.003696935
range_pctile,0.0036942489
rsi_lag5,0.0036904893
inda_adx,0.0035245772
hsi_macd,0.0034980234
close_position,0.0034826144
itc_ret,0.003445987
rel_wr,0.003429514
ha_trend,0.0033370757
auto_wr,0.0033130776
engulfing,0.003296432
icici_rsi,0.0031622676
gold_crude_ratio,0.0031563991
metal_macd,0.0030689582
crude_ret,0.0030434944
metal_wr,0.0029945779
dow_cos,0.0029565776
crude_rsi,0.0028397562
gold_ret,0.0027721254
roc_10,0.0024571498
dxy_macd,0.0024176205
macd_hist,0.0023078565
vix_spike,0.00020837205
obv_slope,0.0
trend,0.0
bb_squeeze,0.0
