n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.03,0.6,1.0,0.0,1.0,0.5985851138830185,0.6832221408327839,DOWN,0.4290461838245392,0.5709538459777832
300,7,0.03,0.6,1.0,0.0,1.0,0.5985851138830185,0.6832221408327839,DOWN,0.4290461838245392,0.5709538459777832
100,7,0.03,0.6,1.0,0.0,1.0,0.5985851138830185,0.6832221408327839,DOWN,0.4290461838245392,0.5709538459777832
200,7,0.03,0.6,1.0,0.5,1.0,0.6009088009595871,0.6786695334147116,DOWN,0.4449775516986847,0.5550224781036377
100,7,0.03,0.6,1.0,0.5,1.0,0.6009088009595871,0.6786695334147116,DOWN,0.4449775516986847,0.5550224781036377
300,7,0.03,0.6,1.0,0.5,1.0,0.6009088009595871,0.6786695334147116,DOWN,0.4449775516986847,0.5550224781036377
200,7,0.05,0.8,0.7,0.0,1.0,0.6024049669504166,0.6735027484500948,UP,0.5548045635223389,0.44519543647766113
100,7,0.05,0.8,0.7,0.0,1.0,0.6024049669504166,0.6735027484500948,UP,0.5548045635223389,0.44519543647766113
300,7,0.05,0.8,0.7,0.0,1.0,0.6024049669504166,0.6735027484500948,UP,0.5548045635223389,0.44519543647766113
200,7,0.05,0.8,0.7,0.5,1.0,0.6028374582529068,0.6717794224502248,UP,0.5544366240501404,0.4455633759498596
300,7,0.05,0.8,0.7,0.5,1.0,0.6028374582529068,0.6717794224502248,UP,0.5544366240501404,0.4455633759498596
100,7,0.05,0.8,0.7,0.5,1.0,0.6036181300878525,0.6739345948640179,UP,0.5646560192108154,0.43534398078918457
300,7,0.05,0.6,1.0,0.0,1.0,0.6044146120548248,0.679190044394545,DOWN,0.3180154860019684,0.681984543800354
100,7,0.05,0.6,1.0,0.0,1.0,0.6044146120548248,0.679190044394545,DOWN,0.3180154860019684,0.681984543800354
200,7,0.05,0.6,1.0,0.0,1.0,0.6044146120548248,0.679190044394545,DOWN,0.3180154860019684,0.681984543800354
200,7,0.05,0.8,1.0,0.5,1.0,0.6045214384794235,0.694540107885038,DOWN,0.47885286808013916,0.5211471319198608
300,7,0.05,0.8,1.0,0.5,1.0,0.6045214384794235,0.694540107885038,DOWN,0.47885286808013916,0.5211471319198608
300,7,0.01,0.6,1.0,0.0,1.0,0.6047744750976562,0.6788478553742775,UP,0.5226315259933472,0.47736847400665283
300,7,0.01,0.6,0.7,0.5,1.0,0.605273425579071,0.6837622096778155,UP,0.5506983399391174,0.44930166006088257
300,7,0.01,0.6,0.7,0.0,1.0,0.6055434942245483,0.6826202179778555,UP,0.5321513414382935,0.46784865856170654
300,7,0.03,0.6,1.0,0.5,3.0,0.6066779941320419,0.67134645700164,DOWN,0.4567691683769226,0.5432308316230774
200,7,0.03,0.6,1.0,0.5,3.0,0.6066779941320419,0.67134645700164,DOWN,0.4567691683769226,0.5432308316230774
200,7,0.03,0.6,0.7,0.5,1.0,0.6067502796649933,0.6886146594886904,DOWN,0.39642003178596497,0.6035799980163574
100,7,0.03,0.6,0.7,0.5,1.0,0.6067502796649933,0.6886146594886904,DOWN,0.39642003178596497,0.6035799980163574
300,7,0.03,0.6,0.7,0.5,1.0,0.6067502796649933,0.6886146594886904,DOWN,0.39642003178596497,0.6035799980163574
200,7,0.03,0.8,1.0,0.0,1.0,0.6067832559347153,0.6695768004426329,UP,0.5722640156745911,0.42773598432540894
300,7,0.03,0.8,1.0,0.0,1.0,0.6067832559347153,0.6695768004426329,UP,0.5722640156745911,0.42773598432540894
300,7,0.05,0.8,0.7,0.0,3.0,0.6071807295084,0.6708940851361571,DOWN,0.4508899748325348,0.5491100549697876
100,7,0.05,0.8,0.7,0.0,3.0,0.6071807295084,0.6708940851361571,DOWN,0.4508899748325348,0.5491100549697876
200,7,0.05,0.8,0.7,0.0,3.0,0.6071807295084,0.6708940851361571,DOWN,0.4508899748325348,0.5491100549697876
300,7,0.01,0.8,0.7,0.0,1.0,0.6076177507638931,0.6719948113812388,UP,0.550193727016449,0.449806272983551
100,7,0.05,0.8,1.0,0.5,1.0,0.6077155619859695,0.689511372252854,DOWN,0.4658772051334381,0.5341228246688843
200,7,0.05,0.6,0.7,0.0,1.0,0.607822522521019,0.668814115217155,DOWN,0.35564038157463074,0.6443595886230469
100,7,0.05,0.6,0.7,0.0,1.0,0.607822522521019,0.668814115217155,DOWN,0.35564038157463074,0.6443595886230469
300,7,0.05,0.6,0.7,0.0,1.0,0.607822522521019,0.668814115217155,DOWN,0.35564038157463074,0.6443595886230469
300,7,0.03,0.6,1.0,0.0,3.0,0.6078333705663681,0.6730120643715856,DOWN,0.4197131097316742,0.5802868604660034
100,7,0.03,0.6,1.0,0.0,3.0,0.6078333705663681,0.6730120643715856,DOWN,0.4197131097316742,0.5802868604660034
