feature,importance
vix_lag1,0.036315206
inda_wr,0.027820889
kc_width,0.0258057
consec_up,0.022422932
it_macd,0.021112002
z20,0.020570463
bn_nifty_ratio,0.018551318
pe_ratio,0.015745223
dxy_rsi,0.01537936
infra_macd,0.014207791
bn_macd,0.013841234
dist_from_high_20,0.013530145
bn_rsi,0.013314481
gold_adx,0.013206931
fmcg_adx,0.012726239
shanghai_macd,0.012125455
rsi,0.011507076
macd_hist_lag3,0.011251598
dist_from_low_20,0.010845197
infra_rsi,0.010538653
copper_rsi,0.010380023
spread,0.010252955
rel_wr,0.010054699
fmcg_rsi,0.009916195
crude_macd,0.009707836
roc_10,0.009652952
gold_wr,0.009322386
fmcg_macd,0.009228323
roc_5,0.009127932
shanghai_rsi,0.009089234
eem_macd,0.008878181
us_vix_rsi,0.008838231
itc_macd,0.008623913
vix_usvix_ratio,0.008483047
vix_lag2,0.008471807
adx,0.008268335
auto_adx,0.0081905145
hsi_macd,0.0081245145
rel_macd,0.00805298
energy_macd,0.0078594405
metal_rsi,0.007801159
tcs_macd,0.007603503
icici_adx,0.0075567565
us_vix_adx,0.007348329
crude_adx,0.0073274444
silver_rsi,0.0073255817
vix_lag3,0.0073189368
auto_macd,0.007237213
bb_width,0.0072343135
atr_expansion,0.0072294134
tcs_ret,0.0072245086
vix_change,0.007216957
intraday_trend,0.007150683
icici_ret,0.0071391803
eem_rsi,0.007071888
it_adx,0.0070529403
icici_rsi,0.00702029
metal_adx,0.007018024
energy_adx,0.0069244523
auto_rsi,0.006825954
dxy_ret,0.006748293
it_rsi,0.006651685
icici_macd,0.006618474
inda_adx,0.0065737427
ema_dist_10,0.006547354
macd_hist_lag2,0.006458511
eem_wr,0.006435428
ndx_macd,0.0063194763
auto_ret,0.0063083475
ndx_ret,0.0062708836
rsi_lag1,0.006136101
tcs_adx,0.006084649
pharma_wr,0.0060745594
hdfc_wr,0.0060714907
us_vix_macd,0.0059911814
metal_macd,0.0059601082
usdinr_z,0.005881686
dxy_macd,0.005715787
rsi_lag3,0.005686708
us10y_rsi,0.005676501
us_vix_wr,0.0056490568
crude_rsi,0.005607581
eem_adx,0.0055502993
rel_rsi,0.0054386086
atr_ratio,0.005375518
eem_ret,0.005372872
buy_pct,0.0052744905
icici_wr,0.0051828
crude_wr,0.00515305
rsi_lag2,0.005127022
itc_wr,0.005036453
rel_adx,0.0050031124
energy_ret,0.0047038477
sp_ret,0.004575774
rel_ret,0.00447325
gold_rsi,0.0044226395
nikkei_rsi,0.0044205813
vix_accel,0.0043906374
month_cos,0.004376679
metal_ret,0.0043171975
bn_vs_nifty,0.0042904555
or_range,0.0042877393
hdfc_adx,0.0042223204
auto_wr,0.0041740076
williams_r,0.0041240915
inda_macd,0.0037585082
rsi_lag5,0.0037357372
hdfc_macd,0.0036443155
hdfc_ret,0.0035768265
natgas_macd,0.0035740575
pharma_adx,0.00349891
dow_cos,0.0034743543
pharma_macd,0.0032487793
copper_macd,0.0032339762
pharma_ret,0.003180931
itc_ret,0.0030285285
range_pctile,0.002995333
gold_macd,0.0029676522
tcs_wr,0.0029368685
vix_ma_ratio,0.0028482177
ema_dist_50,0.002783558
itc_rsi,0.0027377056
itc_adx,0.0027060425
ha_trend,0.002575046
fmcg_ret,0.0024016176
close_position,0.0023974562
infra_wr,0.0023383894
natgas_rsi,0.002309392
infra_ret,0.0022292652
hsi_rsi,0.0022195666
metal_wr,0.001983049
infra_adx,0.0019683954
shanghai_ret,0.0018719545
energy_rsi,0.0017845813
vix_pct,0.0017812185
nikkei_macd,0.0014853026
it_ret,0.0013453322
hdfc_rsi,0.0004977686
vwap_dev,0.00047060158
ndx_rsi,0.0004392045
sell_pct,0.0004012827
rsi_slope,0.00034713934
copper_ret,0.00028636213
pharma_rsi,0.00020673819
macd_hist,0.0
trend,0.0
vix_lag5,0.0
gold_crude_ratio,0.0
bb_squeeze,0.0
dow_sin,0.0
vix_spike,0.0
inda_ret,0.0
ret_20d,0.0
momentum_div,0.0
cmf_proxy,0.0
obv_slope,0.0
gap_pct,0.0
gap_filled,0.0
engulfing,0.0
roc_20,0.0
month_sin,0.0
macd_hist_lag1,0.0
it_wr,0.0
gold_ret,0.0
crude_ret,0.0
inda_rsi,0.0
us_vix_ret,0.0
energy_wr,0.0
fmcg_wr,0.0
hsi_ret,0.0
tcs_rsi,0.0
us10y_ret,0.0
nikkei_ret,0.0
us10y_macd,0.0
silver_ret,0.0
natgas_ret,0.0
silver_macd,0.0
ret_10d,0.0
ret_5d,0.0
upper_wick,0.0
body_pct,0.0
ret_3d,0.0
lower_wick,0.0
