feature,importance
vix_pct,0.013629876
vix_ma_ratio,0.012120954
vix_lag5,0.012077011
us_vix_adx,0.011783707
gold_rsi,0.011447175
infra_macd,0.011338114
itc_macd,0.011199502
atr_expansion,0.011155133
auto_rsi,0.011063251
hsi_rsi,0.010751099
fmcg_adx,0.010736878
us_vix_rsi,0.010631993
icici_macd,0.009844629
macd_hist_lag1,0.009740595
bb_width,0.0096894475
tcs_macd,0.00960093
it_rsi,0.009482114
us_vix_wr,0.009472662
eem_rsi,0.009404958
bn_rsi,0.009387781
kc_width,0.009325155
auto_adx,0.009302127
ret_10d,0.009177883
month_sin,0.00915755
vix_lag3,0.009111036
rsi_lag5,0.008952457
metal_macd,0.008796966
ema_dist_10,0.008769384
adx,0.008765071
tcs_adx,0.008710118
williams_r,0.008638985
hdfc_macd,0.008525126
energy_rsi,0.008522677
energy_macd,0.008503863
hdfc_ret,0.008357557
pharma_macd,0.008353075
ndx_rsi,0.008344674
month_cos,0.008094751
icici_adx,0.008074115
rel_wr,0.008036863
copper_macd,0.0078810835
nikkei_macd,0.007836216
rsi_lag2,0.0077708233
ema_dist_50,0.007656622
hsi_ret,0.00758962
eem_adx,0.0075448807
roc_10,0.0074835694
z20,0.007434983
energy_ret,0.0074320124
it_ret,0.007402032
natgas_macd,0.0073785754
inda_wr,0.0073488546
rsi_lag3,0.007301132
auto_macd,0.007238943
pharma_adx,0.007231844
tcs_wr,0.007198889
rel_macd,0.007181009
metal_rsi,0.0070898673
cmf_proxy,0.006988573
gold_crude_ratio,0.0069867643
macd_hist,0.0069434745
vix_change,0.006912212
nikkei_rsi,0.006831259
gold_adx,0.0067567793
itc_adx,0.0067490223
macd_hist_lag2,0.006670866
fmcg_wr,0.006621979
it_wr,0.0065925866
tcs_ret,0.006561004
gold_macd,0.006399972
hdfc_adx,0.006396573
crude_rsi,0.006374042
vix_lag2,0.0063647805
energy_adx,0.0063644093
bn_nifty_ratio,0.006340888
close_position,0.0062811985
macd_hist_lag3,0.006144926
bn_vs_nifty,0.0060742325
rel_ret,0.006005639
rsi,0.005986648
roc_5,0.00597693
rsi_lag1,0.005960871
vix_usvix_ratio,0.0059507876
shanghai_rsi,0.0059415423
pe_ratio,0.005907806
copper_rsi,0.0058879335
inda_ret,0.0058670226
copper_ret,0.005838124
metal_wr,0.0058228644
metal_ret,0.0057943584
us_vix_macd,0.0057563544
inda_adx,0.0056993696
itc_rsi,0.0056835
ndx_macd,0.005657168
roc_20,0.005594486
pharma_wr,0.0055741067
it_adx,0.0054957657
ret_3d,0.005463935
range_pctile,0.00543768
shanghai_ret,0.0053939126
eem_macd,0.0053594816
us10y_rsi,0.0053463723
dist_from_high_20,0.005335357
silver_rsi,0.0053319405
crude_adx,0.0053162957
natgas_rsi,0.0052488963
us10y_macd,0.0052357903
silver_macd,0.0052116937
itc_ret,0.005209549
buy_pct,0.005126816
body_pct,0.005124121
bn_macd,0.0051192595
ndx_ret,0.005058218
infra_rsi,0.005055329
energy_wr,0.0049967137
tcs_rsi,0.0049855076
fmcg_macd,0.0049729086
it_macd,0.004938668
us_vix_ret,0.004934148
sp_ret,0.0048902743
infra_wr,0.0048074187
infra_ret,0.004791644
rsi_slope,0.0047227778
hsi_macd,0.0046421606
shanghai_macd,0.0046403054
usdinr_z,0.004635177
sell_pct,0.004621609
icici_wr,0.004608477
gold_wr,0.0045330683
crude_ret,0.004388339
spread,0.0042795646
ha_trend,0.00422679
nikkei_ret,0.0042005926
atr_ratio,0.0041677663
dxy_rsi,0.004126605
metal_adx,0.0036670214
infra_adx,0.0036573564
pharma_ret,0.003639425
gold_ret,0.0035828243
rel_adx,0.00353587
gap_pct,0.003455504
pharma_rsi,0.003428676
natgas_ret,0.0033660699
vix_lag1,0.0032957098
us10y_ret,0.0032765716
auto_ret,0.0029186897
intraday_trend,0.0028520583
fmcg_rsi,0.0023781718
or_range,0.0020424002
vix_accel,0.00089094957
crude_macd,0.00083119
ret_5d,0.00068052317
icici_ret,0.00062841875
inda_rsi,0.00062063796
itc_wr,0.00060280017
ret_20d,0.00025868585
auto_wr,7.0219765e-05
momentum_div,0.0
vix_spike,0.0
trend,0.0
obv_slope,0.0
gap_filled,0.0
engulfing,0.0
dow_cos,0.0
dow_sin,0.0
bb_squeeze,0.0
hdfc_rsi,0.0
hdfc_wr,0.0
fmcg_ret,0.0
inda_macd,0.0
eem_ret,0.0
crude_wr,0.0
eem_wr,0.0
rel_rsi,0.0
icici_rsi,0.0
dxy_macd,0.0
dxy_ret,0.0
silver_ret,0.0
upper_wick,0.0
lower_wick,0.0
consec_up,0.0
dist_from_low_20,0.0
vwap_dev,0.0
