feature,importance
it_wr,0.022923602
it_adx,0.01912061
roc_5,0.01573211
metal_wr,0.014668566
fmcg_rsi,0.014626166
lower_wick,0.014386469
intraday_trend,0.014372963
bn_nifty_ratio,0.014140337
it_macd,0.013867248
pharma_ret,0.013726186
ret_10d,0.013530149
vix_usvix_ratio,0.013432606
fmcg_adx,0.013333667
dist_from_high_20,0.012773263
tcs_wr,0.012630491
infra_rsi,0.012457059
us_vix_macd,0.012359942
vix_lag5,0.012341983
copper_macd,0.011724771
month_cos,0.011460379
atr_expansion,0.011318726
bn_vs_nifty,0.011287236
shanghai_rsi,0.011192568
copper_rsi,0.011163666
itc_rsi,0.011112141
kc_width,0.011074533
dxy_macd,0.011012731
hdfc_macd,0.010879221
inda_adx,0.010847086
gold_macd,0.010725347
natgas_ret,0.010662249
sp_ret,0.010572981
natgas_rsi,0.0105474545
auto_rsi,0.010457382
eem_wr,0.0102488315
fmcg_wr,0.010215389
buy_pct,0.010117549
gap_pct,0.010068095
rsi_lag3,0.009932401
vix_lag3,0.009919045
hsi_macd,0.009906307
crude_adx,0.009902883
metal_adx,0.009851767
vix_ma_ratio,0.009706831
rel_rsi,0.009654064
shanghai_macd,0.009526048
rel_ret,0.009513516
auto_adx,0.009460881
williams_r,0.009370782
usdinr_z,0.009337678
ema_dist_10,0.009299978
spread,0.009273325
pharma_macd,0.009211298
dist_from_low_20,0.009141443
rel_macd,0.008995988
roc_10,0.008877583
us10y_macd,0.008836502
pharma_adx,0.008791392
tcs_adx,0.008726557
rel_adx,0.008695085
rsi_lag1,0.008671434
roc_20,0.00864811
itc_ret,0.008643404
energy_macd,0.008617601
rsi_lag2,0.008481434
icici_macd,0.008347697
pe_ratio,0.008231939
vix_change,0.008159606
inda_macd,0.00813802
icici_adx,0.008080342
pharma_rsi,0.0080742445
crude_wr,0.008028607
infra_adx,0.007924029
itc_macd,0.0074399235
ndx_macd,0.007416981
tcs_macd,0.0073657045
auto_ret,0.0071293274
natgas_macd,0.0071072425
ret_20d,0.0070716674
close_position,0.006507578
body_pct,0.0064802463
ret_3d,0.0064114695
vix_accel,0.006275524
ema_dist_50,0.0062751686
nikkei_ret,0.006202953
energy_adx,0.0061743637
us_vix_rsi,0.006132954
infra_wr,0.0060257385
hdfc_ret,0.0059191333
hdfc_wr,0.0058950135
adx,0.0058154515
hdfc_rsi,0.0057591465
us10y_rsi,0.005756879
us_vix_adx,0.005689894
vix_pct,0.0056675323
cmf_proxy,0.005638845
crude_ret,0.005622856
nikkei_macd,0.0055817654
ndx_ret,0.0055387258
metal_rsi,0.0053182784
itc_adx,0.0052876635
atr_ratio,0.0052547767
it_rsi,0.005188452
bb_width,0.004509506
hsi_ret,0.004322322
gold_crude_ratio,0.0041935565
energy_rsi,0.004091981
rsi,0.0040521296
macd_hist,0.003521014
auto_macd,0.00023104252
range_pctile,3.759687e-05
trend,0.0
rsi_lag5,0.0
z20,0.0
vix_spike,0.0
month_sin,0.0
dow_sin,0.0
vix_lag1,0.0
vix_lag2,0.0
inda_ret,0.0
momentum_div,0.0
ha_trend,0.0
engulfing,0.0
gap_filled,0.0
obv_slope,0.0
dow_cos,0.0
bb_squeeze,0.0
rsi_slope,0.0
macd_hist_lag1,0.0
macd_hist_lag2,0.0
macd_hist_lag3,0.0
hdfc_adx,0.0
auto_wr,0.0
fmcg_ret,0.0
fmcg_macd,0.0
inda_wr,0.0
gold_ret,0.0
gold_rsi,0.0
crude_macd,0.0
eem_ret,0.0
eem_rsi,0.0
eem_macd,0.0
eem_adx,0.0
inda_rsi,0.0
it_ret,0.0
crude_rsi,0.0
us_vix_ret,0.0
us_vix_wr,0.0
gold_adx,0.0
gold_wr,0.0
rel_wr,0.0
energy_wr,0.0
energy_ret,0.0
pharma_wr,0.0
metal_ret,0.0
metal_macd,0.0
bn_macd,0.0
bn_rsi,0.0
itc_wr,0.0
tcs_rsi,0.0
tcs_ret,0.0
infra_ret,0.0
infra_macd,0.0
icici_rsi,0.0
icici_ret,0.0
dxy_rsi,0.0
icici_wr,0.0
copper_ret,0.0
ndx_rsi,0.0
dxy_ret,0.0
us10y_ret,0.0
nikkei_rsi,0.0
hsi_rsi,0.0
shanghai_ret,0.0
silver_ret,0.0
silver_rsi,0.0
silver_macd,0.0
ret_5d,0.0
upper_wick,0.0
consec_up,0.0
sell_pct,0.0
or_range,0.0
vwap_dev,0.0
