feature,importance
vix_lag1,0.021888975
vix_lag2,0.018682957
bn_macd,0.017373275
icici_macd,0.016332759
ret_20d,0.014467104
pe_ratio,0.014342484
roc_20,0.014303211
eem_macd,0.012112353
fmcg_macd,0.01206208
itc_adx,0.011328394
adx,0.011116847
it_macd,0.010485502
vix_lag3,0.009904377
tcs_macd,0.009897186
dist_from_high_20,0.009633953
infra_adx,0.009586162
hdfc_macd,0.009493541
energy_adx,0.00945216
macd_hist_lag1,0.009450202
tcs_rsi,0.009434877
us_vix_adx,0.009423605
metal_rsi,0.009331194
auto_rsi,0.009230919
rsi_lag2,0.009181708
pharma_adx,0.008998459
kc_width,0.008901216
vix_lag5,0.0087326355
rel_adx,0.008678076
month_cos,0.00854593
dxy_rsi,0.008508632
atr_ratio,0.008461097
tcs_adx,0.008446271
shanghai_macd,0.008435013
icici_adx,0.008429376
natgas_ret,0.00838326
inda_adx,0.00831711
gold_crude_ratio,0.00830099
pharma_rsi,0.008291091
natgas_rsi,0.008220005
macd_hist_lag2,0.008193597
it_adx,0.008165425
crude_macd,0.00813656
itc_wr,0.008133823
pharma_ret,0.008067114
crude_adx,0.008062194
ndx_macd,0.007999229
hdfc_rsi,0.007913208
vix_ma_ratio,0.007900816
usdinr_z,0.007899685
auto_adx,0.007856053
icici_rsi,0.007851762
vix_pct,0.0078069307
gold_rsi,0.0077586332
auto_macd,0.007725744
bb_width,0.007710552
hsi_macd,0.0076738065
ema_dist_50,0.00759088
icici_ret,0.007523628
hsi_rsi,0.007506802
macd_hist,0.0074294
bn_nifty_ratio,0.0073989574
gold_adx,0.007382566
rel_macd,0.0073471256
fmcg_adx,0.007314257
nikkei_macd,0.0073078824
crude_wr,0.00730644
inda_rsi,0.0073036463
macd_hist_lag3,0.0073005385
natgas_macd,0.007272083
or_range,0.007216353
vix_usvix_ratio,0.0071474276
gold_macd,0.00713963
vwap_dev,0.0070562838
pharma_macd,0.0070481203
cmf_proxy,0.006982014
silver_macd,0.006838421
itc_ret,0.006807023
rsi_lag1,0.006588206
copper_macd,0.0065156743
sell_pct,0.006498613
inda_wr,0.00642263
bb_squeeze,0.00636176
dxy_macd,0.0063601783
pharma_wr,0.0062659495
spread,0.0062522897
infra_wr,0.0061630276
tcs_wr,0.0061097275
lower_wick,0.0060994183
atr_expansion,0.006092352
nikkei_ret,0.006014934
infra_rsi,0.0059860195
range_pctile,0.0058468073
rel_wr,0.005812599
month_sin,0.005779775
gold_wr,0.005752175
roc_5,0.0056905304
us_vix_macd,0.0055790828
fmcg_wr,0.0055720787
eem_wr,0.0055148983
eem_adx,0.0054766824
eem_ret,0.005447022
itc_rsi,0.005359739
sp_ret,0.005335513
rsi,0.005329095
us10y_ret,0.005307658
body_pct,0.005297789
rsi_slope,0.0052626054
us10y_rsi,0.0052603628
roc_10,0.0052411417
metal_macd,0.005118988
us_vix_rsi,0.0050804876
crude_rsi,0.00494677
ndx_rsi,0.004758826
rel_rsi,0.0047367
ret_3d,0.004725282
z20,0.004519949
us10y_macd,0.004473658
us_vix_wr,0.004438478
ret_10d,0.0039997725
it_ret,0.003835722
fmcg_ret,0.0037708231
it_rsi,0.0037538286
vix_accel,0.0037380087
infra_macd,0.00366204
rsi_lag3,0.0036103441
us_vix_ret,0.0035444126
dxy_ret,0.0034567218
itc_macd,0.003424368
energy_rsi,0.003301739
eem_rsi,0.0032307238
rsi_lag5,0.0032264562
hdfc_wr,0.0030737142
gold_ret,0.0030512172
gap_pct,0.003044565
silver_rsi,0.0028009901
hdfc_ret,0.0022718306
crude_ret,0.0020175902
silver_ret,0.0017434234
auto_ret,0.0013904123
inda_ret,0.0013888418
williams_r,2.7337486e-05
gap_filled,0.0
close_position,0.0
dow_cos,0.0
trend,0.0
vix_change,0.0
vix_spike,0.0
bn_vs_nifty,0.0
obv_slope,0.0
engulfing,0.0
dow_sin,0.0
ha_trend,0.0
momentum_div,0.0
ema_dist_10,0.0
metal_adx,0.0
energy_wr,0.0
energy_macd,0.0
energy_ret,0.0
fmcg_rsi,0.0
it_wr,0.0
hdfc_adx,0.0
inda_macd,0.0
rel_ret,0.0
metal_wr,0.0
metal_ret,0.0
auto_wr,0.0
icici_wr,0.0
hsi_ret,0.0
copper_rsi,0.0
copper_ret,0.0
ndx_ret,0.0
bn_rsi,0.0
infra_ret,0.0
tcs_ret,0.0
shanghai_rsi,0.0
shanghai_ret,0.0
nikkei_rsi,0.0
ret_5d,0.0
upper_wick,0.0
buy_pct,0.0
dist_from_low_20,0.0
consec_up,0.0
intraday_trend,0.0
