feature,importance
vix_lag5,0.015603387
metal_rsi,0.012775681
williams_r,0.011472394
vix_lag1,0.011311073
bb_squeeze,0.0110082785
adx,0.010989454
pharma_wr,0.009996701
rel_rsi,0.009918393
dist_from_high_20,0.009907858
infra_wr,0.0097473785
rsi_lag2,0.009672857
ret_10d,0.009446681
macd_hist,0.009301894
pharma_adx,0.009263014
hdfc_macd,0.009226405
inda_macd,0.009017786
bn_nifty_ratio,0.008856723
vix_lag2,0.008717128
eem_rsi,0.008701372
dow_sin,0.008538106
atr_ratio,0.008443035
metal_adx,0.008372061
vix_ma_ratio,0.0082227355
lower_wick,0.008168972
eem_adx,0.008056351
metal_wr,0.008034086
vix_pct,0.00803186
shanghai_macd,0.008007601
silver_macd,0.007915788
icici_macd,0.00770263
vix_lag3,0.007676821
rel_adx,0.0076747974
it_adx,0.0076527977
roc_5,0.0075612646
icici_wr,0.0075549637
auto_adx,0.0075231534
bb_width,0.0074043917
ha_trend,0.007381352
ndx_rsi,0.0073794494
itc_macd,0.0073460196
natgas_macd,0.0073448494
infra_macd,0.0071381694
vwap_dev,0.007121
inda_adx,0.0071118725
crude_macd,0.007071979
copper_macd,0.007070491
crude_adx,0.007061454
natgas_rsi,0.007046506
auto_macd,0.007023251
hsi_macd,0.007004055
eem_macd,0.0069590877
us_vix_adx,0.0069528045
energy_wr,0.006830461
tcs_adx,0.006809151
spread,0.006806158
crude_rsi,0.0067683067
gold_macd,0.00670707
ndx_macd,0.0066807186
metal_macd,0.006673327
dxy_macd,0.0066606356
fmcg_macd,0.0066282717
us_vix_wr,0.0065722745
tcs_wr,0.0065556895
hdfc_rsi,0.006555142
month_cos,0.0065459292
infra_rsi,0.0065185553
rsi_lag3,0.0065142834
us10y_rsi,0.0065018716
itc_rsi,0.0064912024
inda_rsi,0.006419185
vix_usvix_ratio,0.006400131
rel_macd,0.0063631176
pharma_rsi,0.0063100704
or_range,0.0062988633
ret_5d,0.006277428
atr_expansion,0.006229376
tcs_macd,0.006209143
roc_10,0.0062090666
energy_macd,0.0061787264
silver_rsi,0.0061528217
kc_width,0.0061479914
pe_ratio,0.0061412426
itc_wr,0.0061351107
hdfc_adx,0.0061314497
gold_rsi,0.0060745855
macd_hist_lag1,0.0060699973
us10y_ret,0.0060626874
macd_hist_lag3,0.0060530105
it_rsi,0.006038204
nikkei_macd,0.0060214386
ret_20d,0.005914583
rsi,0.0058739427
it_macd,0.0058581443
range_pctile,0.00585492
bn_macd,0.0058526667
rsi_lag1,0.00580717
fmcg_adx,0.0057958327
us_vix_macd,0.0057880403
gold_ret,0.0057439576
icici_rsi,0.005739108
pharma_macd,0.0057291435
ema_dist_10,0.005709416
z20,0.00570073
itc_adx,0.00569539
gold_crude_ratio,0.005555787
vix_accel,0.0054037296
sell_pct,0.0053655985
month_sin,0.005227719
infra_adx,0.0051558106
rsi_lag5,0.0051324135
us10y_macd,0.005061207
icici_adx,0.0049184402
hsi_ret,0.00481512
body_pct,0.004739761
it_wr,0.0047274027
eem_wr,0.004718314
copper_rsi,0.00470337
rel_wr,0.004653675
rsi_slope,0.004637338
us_vix_rsi,0.0045581055
usdinr_z,0.0045451974
hsi_rsi,0.004505931
dxy_rsi,0.0044975183
shanghai_rsi,0.00448371
fmcg_rsi,0.0044615907
ret_3d,0.004459758
infra_ret,0.004446556
fmcg_wr,0.004445812
metal_ret,0.0043920674
hdfc_ret,0.0043160054
energy_adx,0.004256942
nikkei_rsi,0.0042152773
macd_hist_lag2,0.0041290247
gap_pct,0.004040035
tcs_ret,0.0040214267
buy_pct,0.003944568
tcs_rsi,0.0039251116
copper_ret,0.003918483
eem_ret,0.0038719485
sp_ret,0.003867856
gold_adx,0.003827199
vix_change,0.0037885655
fmcg_ret,0.003772867
crude_wr,0.0034402597
momentum_div,0.0033771677
ema_dist_50,0.003317492
intraday_trend,0.003307351
dist_from_low_20,0.0031459336
inda_wr,0.003119297
auto_wr,0.0030161315
roc_20,0.002996517
shanghai_ret,0.00296047
it_ret,0.0029086487
icici_ret,0.002766218
us_vix_ret,0.00264031
energy_ret,0.0025836045
auto_rsi,0.0021110922
natgas_ret,0.002019759
gold_wr,0.0019187403
energy_rsi,0.0018675749
ndx_ret,0.0016735075
itc_ret,0.0016534914
nikkei_ret,0.0015423073
rel_ret,0.0014730106
crude_ret,0.0013842857
dxy_ret,0.0005093399
auto_ret,0.0004564714
pharma_ret,9.92347e-06
close_position,0.0
inda_ret,0.0
engulfing,0.0
cmf_proxy,0.0
obv_slope,0.0
dow_cos,0.0
trend,0.0
vix_spike,0.0
bn_vs_nifty,0.0
gap_filled,0.0
hdfc_wr,0.0
bn_rsi,0.0
silver_ret,0.0
upper_wick,0.0
consec_up,0.0
