feature,importance
dist_from_high_20,0.01962369
z20,0.0138400635
ret_3d,0.0117135355
ret_10d,0.010511587
fmcg_rsi,0.009459482
bn_rsi,0.009223199
ema_dist_10,0.009166376
fmcg_wr,0.009079335
infra_macd,0.008852052
kc_width,0.008317504
inda_macd,0.008151773
ret_5d,0.007902594
consec_up,0.007822619
roc_5,0.0077704075
gold_crude_ratio,0.007691436
rsi_lag1,0.0075939726
us_vix_adx,0.00754408
sp_ret,0.007420291
ndx_rsi,0.007235685
vix_usvix_ratio,0.0070355395
sell_pct,0.0070289704
rel_wr,0.0069513754
icici_adx,0.0069496958
cmf_proxy,0.006936824
energy_adx,0.0069040777
dist_from_low_20,0.0069005345
macd_hist_lag3,0.0068097096
ema_dist_50,0.006728994
itc_adx,0.0067210593
vwap_dev,0.0066951094
spread,0.0066694836
intraday_trend,0.006664038
bn_macd,0.006652023
crude_adx,0.006550516
eem_macd,0.0065323636
eem_rsi,0.0064466773
ndx_macd,0.006439918
vix_lag5,0.0063714227
itc_macd,0.006365431
crude_wr,0.00636027
bb_width,0.0063325213
it_adx,0.006300055
it_rsi,0.006295507
rel_macd,0.0062920754
ha_trend,0.0062859943
it_macd,0.006216161
pharma_macd,0.0062110946
metal_adx,0.006207412
it_wr,0.006166664
hdfc_wr,0.006118086
inda_wr,0.006114224
rel_rsi,0.006108453
hsi_rsi,0.006098767
rsi_lag3,0.0060925223
nikkei_macd,0.0060828575
infra_rsi,0.006079334
natgas_rsi,0.0060792817
rsi_slope,0.006042838
fmcg_adx,0.006040637
hdfc_macd,0.0060127005
ret_20d,0.00600462
fmcg_macd,0.005998323
it_ret,0.0059684957
bn_nifty_ratio,0.0059138658
pharma_ret,0.0058806133
tcs_macd,0.005821358
tcs_wr,0.00580577
hsi_macd,0.005762304
roc_10,0.0057234946
shanghai_rsi,0.0057067256
auto_adx,0.005689914
vix_lag3,0.0056853276
pe_ratio,0.005685247
adx,0.0056478
eem_adx,0.0056172675
roc_20,0.0055683306
or_range,0.005557447
gold_adx,0.005536207
icici_macd,0.005500336
crude_rsi,0.00549019
pharma_adx,0.0054753404
natgas_macd,0.005462949
gap_pct,0.0054426086
rel_adx,0.005439531
usdinr_z,0.0054380186
atr_ratio,0.0054006153
inda_adx,0.005400389
gold_rsi,0.0053830324
vix_lag2,0.005373834
dow_cos,0.0053676236
eem_wr,0.005355044
body_pct,0.0053441557
icici_wr,0.0053227954
gold_macd,0.0052907816
macd_hist_lag2,0.005268925
metal_ret,0.0052661193
atr_expansion,0.0052393563
auto_macd,0.005214739
tcs_rsi,0.0051970603
close_position,0.0051960307
rsi,0.0051890225
itc_ret,0.0051735695
infra_adx,0.005172063
us_vix_macd,0.0051626666
auto_rsi,0.00514872
shanghai_macd,0.005142584
gold_wr,0.005140398
hdfc_adx,0.005132741
us_vix_wr,0.005103008
crude_macd,0.0050938013
macd_hist_lag1,0.0050747106
tcs_adx,0.0050732917
energy_rsi,0.00506862
icici_ret,0.0050116573
us10y_ret,0.0049948464
ndx_ret,0.004994046
us10y_rsi,0.0049936576
dxy_macd,0.0049784966
itc_wr,0.0049701985
nikkei_ret,0.004954119
inda_rsi,0.0049521313
dow_sin,0.004917599
rsi_lag5,0.0048779333
pharma_wr,0.0048395563
lower_wick,0.0048282263
hdfc_rsi,0.0048180916
auto_ret,0.0048154746
copper_rsi,0.004812833
us_vix_rsi,0.0047708843
vix_pct,0.0047626
us10y_macd,0.004761576
eem_ret,0.0047511095
upper_wick,0.004749349
silver_ret,0.004707458
energy_wr,0.0046979077
nikkei_rsi,0.004673044
tcs_ret,0.0046718298
metal_macd,0.004665494
itc_rsi,0.0046521644
dxy_rsi,0.0046469625
vix_accel,0.0046273177
rsi_lag2,0.0045759915
hsi_ret,0.0045452327
copper_ret,0.0044727363
silver_rsi,0.0044646547
bn_vs_nifty,0.0044581764
gold_ret,0.0044414275
crude_ret,0.0044246595
natgas_ret,0.004391175
auto_wr,0.0043855063
hdfc_ret,0.004348117
metal_wr,0.004339981
vix_lag1,0.004338995
williams_r,0.004300953
copper_macd,0.0042672683
icici_rsi,0.0042503895
vix_change,0.0042438935
dxy_ret,0.004242961
us_vix_ret,0.0041681654
macd_hist,0.004104716
inda_ret,0.0040615452
fmcg_ret,0.0038929577
month_sin,0.003877517
vix_ma_ratio,0.0038752544
range_pctile,0.0038223593
shanghai_ret,0.0038008671
energy_macd,0.0037959947
rel_ret,0.003752833
buy_pct,0.003469494
metal_rsi,0.0034215224
infra_wr,0.003329096
pharma_rsi,0.0027775106
energy_ret,0.002468974
silver_macd,0.0022798192
infra_ret,0.001945289
month_cos,0.0008387103
momentum_div,0.0
gap_filled,0.0
obv_slope,0.0
bb_squeeze,0.0
vix_spike,0.0
trend,0.0
engulfing,0.0
